Root,Meaning in English,Origin language,Etymology (root origin),English examples
prodig-,prodigy,Latin,"prodigium ""prodigy""","prodigious, prodigy"
propri-,property; one's own,Latin,"proprietas ""appropriateness, property, ownership"", from proprius ""one's own""","appropriate, proper, property, proprietary, proprietor, propriety"
pros-,"forth, forward",Greek,"πρός (prós), πρόσθεν (prósthen), πρόσθιος (prósthios)","prosenchyma, prosophobia, prosthesis, prosthion"
prosop-,face,Greek,πρόσωπον (prósōpon),"aprosopia, diprosopus, prosopography, prosoponym, prosopopoeia, prosopospasm"
prot-,first,Greek,πρῶτος (prôtos),"amphiprotic, antiproton, protagonist, protanomaly, protanopia, protein, protist, protocol, proton, protoplasm, prototype, Protozoa"
proter-,former,Greek,"πρό (pró), πρότερος (próteros), προτερέω",Proterozoic
proxim-,nearest,Latin,"proximus, proximare","approximate, proximity"
prun-,plum,Latin,prunus,prune
psa-,rub,Greek,"ψᾶν (psân), ψαφαρός, ψήχειν, (psēstós)",palimpsest
psall-,pluck,Greek,"ψάλλειν (psállein), ψαλμός (psalmós)","psalm, psalmodicon, psalmody, psalter, psaltery, psaltikon"
psamath-,sand,Greek,,
psamm-,sand,Greek,"ψάμμος (psámmos), ψάμαθος (psámathos)","psammite, psammitic, psammoma, psammophile, Psammophis, psammophyte, psammosere, psammous"
pseph-,pebble,Greek,"ψάω, ψῆφος (psêphos), ψηφίζειν (psēphízein)","isopsephy, psephite, psephitic, psephocracy, psephology"
pseud-,false,Greek,"ψεύδω, ψεῦδος (pseûdos)",pseudonym
pseud-,false,Greek,"ψεύδομαι, ψευδής (pseudḗs)",pseudonym
psil-,bare,Greek,"ψιλοῦν (psiloûn), ψιλός (psilós), ψιλότης, ψίλωσις (psílōsis)","epsilon, psilanthropism, psilanthropy, psilocybin, psilosis, psilotic, upsilon"
psithyr-,whisper,Greek,"ψίθυρος, ψιθυρίζω, ψιθυρισμός",Psithyrisma
psittac-,parrot,Greek,"ψιττακός, ψιττακοῦ (psittakós, psittakoû)","psittacine, psittacism, psittacosis"
psoph-,noise,Greek,"ψόφος (psóphos), ψοφεῖν, ψοφητικός, ψόφησις, ψόφημα, ψοφοειδής","Psophiidae, Psophocichla, psophometer, psophometric"
psor-,itch,Greek,"ψωρός (psōrós), ψώρα (psṓra), ψωριᾶν (psōriân), (psōríāsis)","psora, psoriasis, psoric, psorosis"
psych-,mind,Greek,"ψύχειν (psúkhein), ψυχή (psukhḗ), ψυχικός (psukhikós)","hylopsychism, panpsychism, psyche, psychedelia, psychedelic, psychiatry, psychic, psychoanalysis, psychologist, psychology, psychopathic, psychopathy, psychopomp, psychosis, psychotherapy, psychotic, psychoticism"
psychr-,cold,Greek,"ψύχω, ψυχρός (psukhrós), ψυχρότης","psychroalgia, psychrometer, psychrophile, psychrophilic, psychrophily"
pter-,wing,Greek,"πτερόν, πτεροῦ (pterón, pteroû), πτέρυξ, πτέρυγος (ptérux, ptérugos), (pterugōtós), πτερίσκος","apterous, apterygote, archaeopteryx, brachypterous, brachyptery, Chiroptera, chiropterologist, Endopterygota, exopterygote, helicopter, hemipterous, heteropterous, homopterous, Neoptera, peripteros, pterodactyl, pteron, pteropod, pterosaur, pterostigma, pterygote, tetrapterous"
pterid-,fern,Greek,"πτερίς, πτερίδος (pterís, pterídos)","pteridology, pteridophyte, pteridosperm"
pto-,fall,Greek,"πίπτειν (píptein), πτωτός (ptōtós), πτωτικός (ptōtikós), πτῶσις (ptôsis), πτῶμα, πτῶματος (ptôma, ptômatos)","anaptotic, asymptomatic, apoptosis, peripeteia, peripety, polyptoton, proptosis, proptotic, ptomaine, ptosis, ptotic, symptom, symptomatic, symptosis"
ptoch-,poor,Greek,"πτωχός (ptōkhós), πτωχότης","ptochocracy, ptochology"
pty-,spit,Greek,"πτύειν, πτύον (ptúon), πτύσις (ptúsis), πτύαλον","hemoptysis, ptyalin, pyoptysis"
ptych-,"fold, layer",Greek,"πτύσσειν (ptússein), πτύγμα (ptúgma), πτύξ (ptúx), πτυχός (ptukhós), πτυχή (ptukhḗ)","anaptyctic, anaptyxis, diptych, heptaptych, hexaptych, octaptych, pentaptych, polyptych, tetraptych, triptych"
pub-,sexually mature,Latin,"pubes, puberis","pubescent, pubic"
public-,public,Latin,publicus,"publication, publicity"
pude-,shame,Latin,pudere,"impudent, pudendum, repudiate"
"pug-, pugn-",fight,Latin,"pugnare ""to fight"", from pugnus ""fist""","impugn, pugilism, pugnacious, repugnant"
pulchr-,beautiful,Latin,"pulcher, pulchri",pulchritude
pulmon-,lung,Latin,"pulmo, pulmonis",pulmonary
pulver-,dust,Latin,"pulvis, pulveris",pulverize
"pung-, punct-",prick,Latin,"pungere, punctus","acupuncture, expunge, poignant, point, punch, punctual, punctuation, puncture, pungent"
pup-,doll,Latin,pupa,"pupa, pupate, puppet"
pur-,pure,Latin,"purare ""to purify"", from purus ""pure""","impurity, pure, puree, purge, purify, purity"
purg-,cleanse,Latin,purgare,"expurgate, purgatory, purge"
purpur-,purple,Latin,purpura,"purpurate, purpureal"
put-,"prune, reckon",Latin,putāre,"amputation, compute, dispute, impute, putative, reputation"
py-,pus,Greek,"πύον (púon), (pyeîn)","empyema, pyemia, pyemesis, pyesis, pyocyst, pyogenesis, pyorrhea, pyorrhoea, pyosis, pyoureter"
pyel-,trough,Greek,"πύελος (púelos), πυελίς","pyelectasis, pyelitis, pyelogram, pyelography, pyelonephritis, pyeloscopy"
pyg-,rump,Greek,πυγή (pugḗ),"callipygian, pygopagus, pygostyle, steatopygia"
pyl-,gate,Greek,"πύλη (púlē), πυλών, πυλῶνος (pulṓn, pulōnos)","apopyle, micropyle, propylaea, prosopyle, pylon, pyloric, pylorus, tetrapylon, Thermopylae"
pyr-,fire,Greek,"πύρ, πυρός (púr, purós), πυρά (purá), πυρότης, πυρετός, πυρέττειν","antipyretic, Empyreuma, pyre, pyrite, pyroclastic, pyrolysis, pyromancy, pyromania, pyromaniac, pyrometric, pyrophobia, pyrophoric, pyrosis, pyrosome, pyrotechnic"
pyramid-,,Greek,"πυραμίς, πυραμίδος","dipyramid, pyramid, pyramidion"
pyrrh-,flame-colored,Greek,"πῦρ, πυρρός, πυρρότης, πυρράζω",pyrrhic
